event_id,start_sample,end_sample,duration_sec,start_time_min,kmeans_cluster,dbscan_cluster,is_anomaly,anomaly_score,pca_1,pca_2,pca_3,peak_acceleration,rms_acceleration,energy,dominant_freq,spectral_centroid
95,274938,277395,24.57,45.823,1,-1,1,-0.6282456911630163,16.763547243845643,-1.4642938526762108,0.0,22.983428520492982,3.7028343822056935,33687.88390924363,1.263243683781581,15.536437659693872
96,277646,278579,9.33,46.27433333333333,0,-1,0,-0.39934570309119416,-0.43611518715058223,-1.733344068600042,0.0,3.375200408317079,0.8793745298370841,721.4884929565378,1.1827956989247312,16.798467557630982
97,281667,281847,1.8,46.9445,5,-1,0,-0.442723913165466,-2.8471440958316308,4.282232550710644,0.0,2.1813232939550264,0.7149096098858972,91.99723505529704,16.292134831460675,22.448022367863835
98,283273,283808,5.35,47.21216666666667,0,-1,0,-0.41218266557970473,-0.21250389997633037,-0.1987161686217731,0.0,3.96306055194678,0.9755667420062311,509.17580043812893,1.3157894736842104,17.233153947160424
99,286957,287139,1.82,47.82616666666667,4,-1,0,-0.3698123926104862,-2.0359713817179768,1.6636082420978964,0.0,2.8929829419298394,0.80745736513495,118.66170616494304,1.6666666666666667,20.36343088771334
100,290876,291264,3.88,48.47933333333334,0,-1,0,-0.3846888199541088,-2.1048519283153246,-1.5227194146614424,0.0,1.8818818027303164,0.7931892556445536,244.10988776474485,1.2953367875647668,18.83785433437129
101,292108,292252,1.44,48.684666666666665,4,-1,0,-0.41842303526594365,-2.819284654575633,1.3939906727010958,0.0,2.045213525216679,0.643581786374009,59.644442268339915,1.408450704225352,20.270115659936696
102,292715,293033,3.18,48.785833333333336,0,-1,0,-0.36030296932375766,-1.974948694473482,-0.26337096525165277,0.0,2.395853786187821,0.8404176085183221,224.60395863303455,1.2658227848101267,20.219192183449206
103,293388,293566,1.78,48.898,5,-1,0,-0.4478877125175805,-2.969237212284963,3.7709446293093127,0.0,1.726971494102992,0.6926936087778912,85.40874954422941,15.90909090909091,21.848120392028264
104,293942,295137,11.95,48.99033333333333,2,-1,1,-0.6135288980245661,6.6191578412527186,1.9202762762678758,0.0,12.292978398731403,2.2546073164414646,6074.488710864902,6.0402684563758395,16.891207520218884
105,295439,295680,2.41,49.23983333333333,5,-1,0,-0.4168675849481809,-1.1286117738511423,3.0275588570204484,0.0,3.2740902943968675,0.9290561935735564,208.0180440069899,11.344537815126051,18.833346595690408
106,296170,296602,4.32,49.361666666666665,4,-1,0,-0.3700525478095315,-1.076345729660127,1.5143417589927737,0.0,3.2202900996888912,0.9751308163933768,410.78020712256586,1.3953488372093024,19.835573047706404
107,297210,297595,3.85,49.535,4,-1,0,-0.36170550324310147,-2.0341789184572048,0.7117630339888531,0.0,2.4807647851788728,0.7058039340514294,191.79128942915267,1.3089005235602094,20.054415251916787
108,297810,298252,4.42,49.635,0,-1,0,-0.41461719351426896,-0.47617448798174355,-1.7452441295257142,0.0,3.558620096266798,1.0789582606716914,514.5547102960834,1.3636363636363635,16.36535912281541
109,305582,305889,3.07,50.93033333333334,4,-1,0,-0.3571197540068148,-2.0457577867707624,2.1090632039571364,0.0,2.5585417958869936,0.7458998209417463,170.8045286644453,1.3157894736842106,21.357120877799222
110,308234,308397,1.63,51.37233333333334,0,-1,0,-0.4458022415508318,-1.923523668748161,-0.8708916649674728,0.0,2.586407462421335,0.740514907353819,89.38305946615733,0.625,15.523491937406275
111,308585,308785,2.0,51.43083333333333,0,-1,0,-0.42576186004551186,-2.0031227613094233,1.3667892652889764,0.0,3.200845847011861,0.7354699670199951,108.18321447767856,1.5151515151515151,20.98965022109065
